city,state,population,year,lage_category,base_rent_per_sqm,edition_type
Berlin,Berlin,3777000,2013,mittel,6.16,qualifiziert
Berlin,Berlin,3777000,2015,mittel,6.71,qualifiziert
Berlin,Berlin,3777000,2017,mittel,7.60,qualifiziert
Berlin,Berlin,3777000,2019,mittel,8.87,qualifiziert
Berlin,Berlin,3777000,2021,mittel,10.56,qualifiziert
Berlin,Berlin,3777000,2023,mittel,12.50,qualifiziert
Hamburg,Hamburg,1910000,2013,mittel,7.20,qualifiziert
Hamburg,Hamburg,1910000,2015,mittel,7.80,qualifiziert
Hamburg,Hamburg,1910000,2017,mittel,8.55,qualifiziert
Hamburg,Hamburg,1910000,2019,mittel,9.45,qualifiziert
Hamburg,Hamburg,1910000,2021,mittel,10.60,qualifiziert
Hamburg,Hamburg,1910000,2023,mittel,12.00,qualifiziert
Munich,Bayern,1512000,2013,mittel,10.50,qualifiziert
Munich,Bayern,1512000,2015,mittel,11.50,qualifiziert
Munich,Bayern,1512000,2017,mittel,12.80,qualifiziert
Munich,Bayern,1512000,2019,mittel,14.20,qualifiziert
Munich,Bayern,1512000,2021,mittel,15.90,qualifiziert
Munich,Bayern,1512000,2023,mittel,17.80,qualifiziert
Cologne,Nordrhein-Westfalen,1086000,2013,mittel,7.10,qualifiziert
Cologne,Nordrhein-Westfalen,1086000,2015,mittel,7.75,qualifiziert
Cologne,Nordrhein-Westfalen,1086000,2017,mittel,8.55,qualifiziert
Cologne,Nordrhein-Westfalen,1086000,2019,mittel,9.55,qualifiziert
Cologne,Nordrhein-Westfalen,1086000,2021,mittel,10.70,qualifiziert
Cologne,Nordrhein-Westfalen,1086000,2023,mittel,12.20,qualifiziert
Frankfurt,Hessen,773000,2014,mittel,7.60,qualifiziert
Frankfurt,Hessen,773000,2016,mittel,8.30,qualifiziert
Frankfurt,Hessen,773000,2018,mittel,9.20,qualifiziert
Frankfurt,Hessen,773000,2020,mittel,10.35,qualifiziert
Frankfurt,Hessen,773000,2022,mittel,11.95,qualifiziert
Frankfurt,Hessen,773000,2024,mittel,13.60,qualifiziert
Stuttgart,Baden-Württemberg,628000,2013,mittel,7.45,qualifiziert
Stuttgart,Baden-Württemberg,628000,2015,mittel,8.15,qualifiziert
Stuttgart,Baden-Württemberg,628000,2017,mittel,9.00,qualifiziert
Stuttgart,Baden-Württemberg,628000,2019,mittel,10.30,qualifiziert
Stuttgart,Baden-Württemberg,628000,2021,mittel,11.70,qualifiziert
Stuttgart,Baden-Württemberg,628000,2023,mittel,13.20,qualifiziert
Düsseldorf,Nordrhein-Westfalen,620000,2013,mittel,7.25,qualifiziert
Düsseldorf,Nordrhein-Westfalen,620000,2015,mittel,7.85,qualifiziert
Düsseldorf,Nordrhein-Westfalen,620000,2017,mittel,8.65,qualifiziert
Düsseldorf,Nordrhein-Westfalen,620000,2019,mittel,9.70,qualifiziert
Düsseldorf,Nordrhein-Westfalen,620000,2021,mittel,10.85,qualifiziert
Düsseldorf,Nordrhein-Westfalen,620000,2023,mittel,12.30,qualifiziert
Leipzig,Sachsen,617000,2014,mittel,5.30,qualifiziert
Leipzig,Sachsen,617000,2016,mittel,5.75,qualifiziert
Leipzig,Sachsen,617000,2018,mittel,6.40,qualifiziert
Leipzig,Sachsen,617000,2020,mittel,7.10,qualifiziert
Leipzig,Sachsen,617000,2022,mittel,8.00,qualifiziert
Leipzig,Sachsen,617000,2024,mittel,9.10,qualifiziert
Dresden,Sachsen,563000,2013,mittel,5.30,qualifiziert
Dresden,Sachsen,563000,2015,mittel,5.75,qualifiziert
Dresden,Sachsen,563000,2017,mittel,6.35,qualifiziert
Dresden,Sachsen,563000,2019,mittel,7.05,qualifiziert
Dresden,Sachsen,563000,2021,mittel,7.80,qualifiziert
Dresden,Sachsen,563000,2023,mittel,8.75,qualifiziert
Hannover,Niedersachsen,545000,2013,mittel,5.90,qualifiziert
Hannover,Niedersachsen,545000,2015,mittel,6.35,qualifiziert
Hannover,Niedersachsen,545000,2017,mittel,6.95,qualifiziert
Hannover,Niedersachsen,545000,2019,mittel,7.70,qualifiziert
Hannover,Niedersachsen,545000,2021,mittel,8.55,qualifiziert
Hannover,Niedersachsen,545000,2023,mittel,9.70,qualifiziert
