lage,baujahr,bis_40,40_60,60_90,ueber_90
einfach,bis 1918,8.03,7.68,7.35,7.02
einfach,1919-1949,8.21,7.85,7.52,7.18
einfach,1950-1964,8.55,8.18,7.84,7.49
einfach,1965-1974,8.82,8.44,8.09,7.73
einfach,1975-1990,9.12,8.73,8.37,8.0
einfach,1991-2000,9.48,9.07,8.7,8.32
einfach,2001-2010,9.88,9.46,9.07,8.67
einfach,2011-2024,10.52,10.07,9.66,9.24
mittel,bis 1918,10.85,10.38,9.95,9.51
mittel,1919-1949,11.09,10.6,10.16,9.71
mittel,1950-1964,11.55,11.05,10.59,10.12
mittel,1965-1974,11.92,11.4,10.93,10.45
mittel,1975-1990,12.32,11.79,11.3,10.8
mittel,1991-2000,12.81,12.25,11.75,11.23
mittel,2001-2010,13.35,12.78,12.25,11.71
mittel,2011-2024,14.2,13.6,13.04,12.47
gut,bis 1918,13.01,12.45,11.94,11.41
gut,1919-1949,13.3,12.72,12.19,11.65
gut,1950-1964,13.85,13.26,12.71,12.15
gut,1965-1974,14.29,13.68,13.12,12.54
gut,1975-1990,14.77,14.14,13.56,12.96
gut,1991-2000,15.36,14.7,14.1,13.48
gut,2001-2010,16.01,15.33,14.7,14.05
gut,2011-2024,17.03,16.31,15.64,14.96
