city,lage,baujahr,size_class,size_m2,rent_per_sqm,rent_total,year
Berlin,einfach,bis 1918,under 40,30,8.03,241.0,2024
Berlin,einfach,bis 1918,40–60,50,7.68,384.0,2024
Berlin,einfach,bis 1918,60–90,75,7.35,551.0,2024
Berlin,einfach,bis 1918,over 90,100,7.02,702.0,2024
Berlin,einfach,1919-1949,under 40,30,8.21,246.0,2024
Berlin,einfach,1919-1949,40–60,50,7.85,392.0,2024
Berlin,einfach,1919-1949,60–90,75,7.52,564.0,2024
Berlin,einfach,1919-1949,over 90,100,7.18,718.0,2024
Berlin,einfach,1950-1964,under 40,30,8.55,256.0,2024
Berlin,einfach,1950-1964,40–60,50,8.18,409.0,2024
Berlin,einfach,1950-1964,60–90,75,7.84,588.0,2024
Berlin,einfach,1950-1964,over 90,100,7.49,749.0,2024
Berlin,einfach,1965-1974,under 40,30,8.82,265.0,2024
Berlin,einfach,1965-1974,40–60,50,8.44,422.0,2024
Berlin,einfach,1965-1974,60–90,75,8.09,607.0,2024
Berlin,einfach,1965-1974,over 90,100,7.73,773.0,2024
Berlin,einfach,1975-1990,under 40,30,9.12,274.0,2024
Berlin,einfach,1975-1990,40–60,50,8.73,436.0,2024
Berlin,einfach,1975-1990,60–90,75,8.37,628.0,2024
Berlin,einfach,1975-1990,over 90,100,8.0,800.0,2024
Berlin,einfach,1991-2000,under 40,30,9.48,284.0,2024
Berlin,einfach,1991-2000,40–60,50,9.07,454.0,2024
Berlin,einfach,1991-2000,60–90,75,8.7,652.0,2024
Berlin,einfach,1991-2000,over 90,100,8.32,832.0,2024
Berlin,einfach,2001-2010,under 40,30,9.88,296.0,2024
Berlin,einfach,2001-2010,40–60,50,9.46,473.0,2024
Berlin,einfach,2001-2010,60–90,75,9.07,680.0,2024
Berlin,einfach,2001-2010,over 90,100,8.67,867.0,2024
Berlin,einfach,2011-2024,under 40,30,10.52,316.0,2024
Berlin,einfach,2011-2024,40–60,50,10.07,504.0,2024
Berlin,einfach,2011-2024,60–90,75,9.66,724.0,2024
Berlin,einfach,2011-2024,over 90,100,9.24,924.0,2024
Berlin,mittel,bis 1918,under 40,30,10.85,326.0,2024
Berlin,mittel,bis 1918,40–60,50,10.38,519.0,2024
Berlin,mittel,bis 1918,60–90,75,9.95,746.0,2024
Berlin,mittel,bis 1918,over 90,100,9.51,951.0,2024
Berlin,mittel,1919-1949,under 40,30,11.09,333.0,2024
Berlin,mittel,1919-1949,40–60,50,10.6,530.0,2024
Berlin,mittel,1919-1949,60–90,75,10.16,762.0,2024
Berlin,mittel,1919-1949,over 90,100,9.71,971.0,2024
Berlin,mittel,1950-1964,under 40,30,11.55,346.0,2024
Berlin,mittel,1950-1964,40–60,50,11.05,552.0,2024
Berlin,mittel,1950-1964,60–90,75,10.59,794.0,2024
Berlin,mittel,1950-1964,over 90,100,10.12,1012.0,2024
Berlin,mittel,1965-1974,under 40,30,11.92,358.0,2024
Berlin,mittel,1965-1974,40–60,50,11.4,570.0,2024
Berlin,mittel,1965-1974,60–90,75,10.93,820.0,2024
Berlin,mittel,1965-1974,over 90,100,10.45,1045.0,2024
Berlin,mittel,1975-1990,under 40,30,12.32,370.0,2024
Berlin,mittel,1975-1990,40–60,50,11.79,590.0,2024
Berlin,mittel,1975-1990,60–90,75,11.3,848.0,2024
Berlin,mittel,1975-1990,over 90,100,10.8,1080.0,2024
Berlin,mittel,1991-2000,under 40,30,12.81,384.0,2024
Berlin,mittel,1991-2000,40–60,50,12.25,612.0,2024
Berlin,mittel,1991-2000,60–90,75,11.75,881.0,2024
Berlin,mittel,1991-2000,over 90,100,11.23,1123.0,2024
Berlin,mittel,2001-2010,under 40,30,13.35,400.0,2024
Berlin,mittel,2001-2010,40–60,50,12.78,639.0,2024
Berlin,mittel,2001-2010,60–90,75,12.25,919.0,2024
Berlin,mittel,2001-2010,over 90,100,11.71,1171.0,2024
Berlin,mittel,2011-2024,under 40,30,14.2,426.0,2024
Berlin,mittel,2011-2024,40–60,50,13.6,680.0,2024
Berlin,mittel,2011-2024,60–90,75,13.04,978.0,2024
Berlin,mittel,2011-2024,over 90,100,12.47,1247.0,2024
Berlin,gut,bis 1918,under 40,30,13.01,390.0,2024
Berlin,gut,bis 1918,40–60,50,12.45,622.0,2024
Berlin,gut,bis 1918,60–90,75,11.94,896.0,2024
